team_A,team_B,toss_winner,top_batsmen_points_A,top_batsmen_points_B,top_baller_points_A,top_baller_points_B,match_won_after_winning_toss_A,match_won_after_winning_toss_B,runs_in_powerplay_A,runs_in_powerplay_B,run_rate_A,run_rate_B,most_value_player_points_A,most_value_player_points_B,win_ratio_A,win_ratio_B,ground_A,ground_B,winner
4,2,0,0.2850000000000001,0.48749999999999993,0.7129186602870814,0.5610047846889953,0.0,0.0,0.5066666666666665,0.33333333333333337,-0.147,-0.467,0.5364963503649636,0.6235662148070907,0.0,0.0,0,0,0
1,11,1,0.2850000000000001,0.5499999999999999,0.5454545454545455,0.5227272727272728,0.0,0.0,0.3733333333333333,0.5238095238095238,0.342,0.632,0.5396246089676747,0.9562043795620438,0.0,0.0,0,1,1
9,6,0,0.21749999999999997,0.9550000000000001,0.3098086124401914,0.4832535885167465,0.0,0.0,0.4266666666666666,0.2,-1.16,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
4,1,0,0.2850000000000001,0.2850000000000001,0.7129186602870814,0.5454545454545455,0.0,0.0,0.4666666666666666,0.4,-0.147,0.342,0.5364963503649636,0.5396246089676747,0.0,0.0,1,0,0
0,7,1,0.9624999999999999,0.33500000000000013,0.514354066985646,1.0,0.0,0.0,0.2666666666666666,0.3523809523809524,-0.192,0.57,0.7090719499478624,0.7549530761209593,0.0,0.0,0,1,1
1,2,1,0.2850000000000001,0.48749999999999993,0.5454545454545455,0.5610047846889953,0.0,0.0,0.1733333333333333,0.7428571428571429,0.342,-0.467,0.5396246089676747,0.6235662148070907,0.0,0.0,0,0,0
4,7,1,0.2850000000000001,0.33500000000000013,0.7129186602870814,1.0,0.0,0.0,0.4799999999999999,0.36190476190476195,-0.147,0.57,0.5364963503649636,0.7549530761209593,0.0,0.0,0,1,1
1,6,0,0.2850000000000001,0.9550000000000001,0.5454545454545455,0.4832535885167465,0.0,0.0,0.4399999999999999,0.6761904761904762,0.342,0.509,0.5396246089676747,0.7580813347236706,0.0,0.0,0,0,1
11,9,1,0.5499999999999999,0.21749999999999997,0.5227272727272728,0.3098086124401914,0.0,0.0,0.16,0.6476190476190476,0.632,-1.16,0.9562043795620438,0.5396246089676747,0.0,0.0,1,0,0
7,2,1,0.33500000000000013,0.48749999999999993,1.0,0.5610047846889953,0.0,0.0,0.7066666666666667,0.6952380952380953,0.57,-0.467,0.7549530761209593,0.6235662148070907,0.0,0.0,0,0,0
4,0,0,0.2850000000000001,0.9624999999999999,0.7129186602870814,0.514354066985646,0.0,0.0,0.4799999999999999,0.21904761904761907,-0.147,-0.192,0.5364963503649636,0.7090719499478624,0.0,0.0,1,0,1
9,1,1,0.21749999999999997,0.2850000000000001,0.3098086124401914,0.5454545454545455,0.0,0.0,0.5599999999999999,0.3047619047619048,-1.16,0.342,0.5396246089676747,0.5396246089676747,0.0,0.0,1,0,1
4,11,1,0.2850000000000001,0.5499999999999999,0.7129186602870814,0.5227272727272728,0.0,0.0,0.2666666666666666,0.40952380952380957,-0.147,0.632,0.5364963503649636,0.9562043795620438,0.0,0.0,1,0,1
6,7,1,0.9550000000000001,0.33500000000000013,0.4832535885167465,1.0,0.0,0.0,0.3466666666666667,0.6761904761904762,0.509,0.57,0.7580813347236706,0.7549530761209593,0.0,0.0,0,1,0
9,0,0,0.21749999999999997,0.9624999999999999,0.3098086124401914,0.514354066985646,0.0,0.0,0.22666666666666663,0.4,-1.16,-0.192,0.5396246089676747,0.7090719499478624,0.0,0.0,0,1,0
2,6,1,0.48749999999999993,0.9550000000000001,0.5610047846889953,0.4832535885167465,0.0,0.0,0.3733333333333333,0.6476190476190476,-0.467,0.509,0.6235662148070907,0.7580813347236706,0.0,0.0,0,0,1
7,1,1,0.33500000000000013,0.2850000000000001,1.0,0.5454545454545455,0.0,0.0,0.10666666666666666,0.4190476190476191,0.57,0.342,0.7549530761209593,0.5396246089676747,0.0,0.0,0,0,1
11,0,0,0.5499999999999999,0.9624999999999999,0.5227272727272728,0.514354066985646,0.0,0.0,0.36,0.7047619047619048,0.632,-0.192,0.9562043795620438,0.7090719499478624,0.0,0.0,0,1,0
2,9,0,0.48749999999999993,0.21749999999999997,0.5610047846889953,0.3098086124401914,0.0,0.0,0.6,0.5333333333333334,-0.467,-1.16,0.6235662148070907,0.5396246089676747,0.0,0.0,0,0,1
6,4,0,0.9550000000000001,0.2850000000000001,0.4832535885167465,0.7129186602870814,0.0,0.0,0.6933333333333332,0.6190476190476191,0.509,-0.147,0.7580813347236706,0.5364963503649636,0.0,0.0,0,1,1
7,11,1,0.33500000000000013,0.5499999999999999,1.0,0.5227272727272728,0.0,0.0,0.4133333333333333,0.31428571428571433,0.57,0.632,0.7549530761209593,0.9562043795620438,0.0,0.0,0,1,1
2,0,0,0.48749999999999993,0.9624999999999999,0.5610047846889953,0.514354066985646,0.0,0.0,0.4266666666666666,0.48571428571428577,-0.467,-0.192,0.6235662148070907,0.7090719499478624,0.0,0.0,0,0,1
9,7,1,0.21749999999999997,0.33500000000000013,0.3098086124401914,1.0,0.0,0.0,0.18666666666666668,0.34285714285714286,-1.16,0.57,0.5396246089676747,0.7549530761209593,0.0,0.0,1,0,1
6,11,1,0.9550000000000001,0.5499999999999999,0.4832535885167465,0.5227272727272728,0.0,0.0,0.14666666666666664,0.4190476190476191,0.509,0.632,0.7580813347236706,0.9562043795620438,0.0,0.0,0,0,0
11,1,1,0.5499999999999999,0.2850000000000001,0.5227272727272728,0.5454545454545455,0.0,0.0,0.5733333333333334,0.2666666666666667,0.632,0.342,0.9562043795620438,0.5396246089676747,0.0,0.0,0,0,0
6,0,0,0.9550000000000001,0.9624999999999999,0.4832535885167465,0.514354066985646,0.0,0.0,0.2666666666666666,0.33333333333333337,0.509,-0.192,0.7580813347236706,0.7090719499478624,0.0,0.0,0,0,1
0,11,1,0.9624999999999999,0.5499999999999999,0.514354066985646,0.5227272727272728,0.0,0.0,0.36,0.39047619047619053,-0.192,0.632,0.7090719499478624,0.9562043795620438,0.0,0.0,0,0,1
7,0,1,0.5275,0.9499999999999997,0.6495215311004785,0.7691387559808615,0.5,0.6,0.33333333333333326,0.380952380952381,0.297,0.951,0.637643378519291,0.7424400417101147,0.0,0.0,0,0,0
9,11,0,1.0,0.4075000000000001,0.6423444976076556,0.7045454545454546,0.2,0.818181818,0.18666666666666668,0.13333333333333336,-0.191,-0.35200000000000004,0.7106360792492179,0.6272158498435871,1.0,0.0,0,0,0
6,1,1,0.5299999999999999,0.7599999999999998,0.549043062200957,0.0,0.5,0.333333333,0.6933333333333332,0.5523809523809524,-0.483,0.311,0.6616266944734098,0.7106360792492179,1.0,0.0,0,0,1
4,2,0,0.7599999999999998,0.9649999999999999,0.47248803827751207,0.7667464114832537,0.5,0.222222222,0.08,0.3523809523809524,-0.789,0.203,0.5046923879040668,0.7831074035453598,1.0,0.0,0,0,1
0,9,0,0.9499999999999997,1.0,0.7691387559808615,0.6423444976076556,0.6,0.2,0.7066666666666667,0.43809523809523815,0.951,-0.191,0.7424400417101147,0.7106360792492179,1.0,0.0,0,0,0
6,4,1,0.5299999999999999,0.7599999999999998,0.549043062200957,0.47248803827751207,0.5,0.5,0.4133333333333333,0.5714285714285715,-0.483,-0.789,0.6616266944734098,0.5046923879040668,0.5,0.5,0,0,1
2,9,0,0.9649999999999999,1.0,0.7667464114832537,0.6423444976076556,0.222222222,0.2,0.6266666666666666,0.29523809523809524,0.203,-0.191,0.7831074035453598,0.7106360792492179,0.0,1.0,0,0,0
1,0,0,0.7599999999999998,0.9499999999999997,0.0,0.7691387559808615,0.333333333,0.6,0.5866666666666666,0.580952380952381,0.311,0.951,0.7106360792492179,0.7424400417101147,0.0,1.0,0,0,0
11,4,1,0.4075000000000001,0.7599999999999998,0.7045454545454546,0.47248803827751207,0.818181818,0.5,0.5199999999999999,0.36190476190476195,-0.35200000000000004,-0.789,0.6272158498435871,0.5046923879040668,1.0,0.0,0,0,0
9,6,0,1.0,0.5299999999999999,0.6423444976076556,0.549043062200957,0.2,0.5,0.4533333333333332,0.4190476190476191,-0.191,-0.483,0.7106360792492179,0.6616266944734098,0.0,1.0,0,0,1
2,7,0,0.9649999999999999,0.5275,0.7667464114832537,0.6495215311004785,0.222222222,0.5,0.5333333333333333,0.4761904761904762,0.203,0.297,0.7831074035453598,0.637643378519291,1.0,0.0,0,0,0
9,1,0,1.0,0.7599999999999998,0.6423444976076556,0.0,0.2,0.333333333,0.39999999999999997,0.40952380952380957,-0.191,0.311,0.7106360792492179,0.7106360792492179,0.0,1.0,0,0,1
