Unnamed: 0,match_day,match_no,day,time_IST,time_UAE,venue,home,away,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B
46,39,47,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,DELHI CAPITALS,669.6,654.8,675.8,650.0,0.5,0.4666666666666667
47,40,48,WED,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,668.8,614.0,563.4,654.0,0.5714285714285714,0.5061728395061729
48,41,49,THU,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,612.2,583.4,646.6,618.0,0.6404494382022472,0.5760869565217391
49,42,50,FRI,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,RAJASTHAN ROYALS,607.0,614.2,525.0,617.6,0.43209876543209874,0.525
50,43,51,SAT,3:30PM,2:00PM,DUBAI,DELHI CAPITALS,MUMBAI INDIANS,654.8,668.8,650.0,563.4,0.4666666666666667,0.5714285714285714
51,43,52,SAT,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,614.0,669.6,654.0,675.8,0.5061728395061729,0.5
52,44,53,SUN,3:30PM,2:00PM,ABU DHABI,CHENNAI SUPER KINGS,KINGS XI PUNJAB,612.2,607.0,646.6,525.0,0.6404494382022472,0.43209876543209874
53,44,54,SUN,7:30PM,6:00PM,DUBAI,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,583.4,614.2,618.0,617.6,0.5760869565217391,0.525
54,45,55,MON,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,654.8,614.0,650.0,654.0,0.4666666666666667,0.5061728395061729
55,46,56,TUE,7:30PM,6:00PM,SHARJAH,SUNRISERS HYDERABAD,MUMBAI INDIANS,669.6,668.8,675.8,563.4,0.5,0.5714285714285714
