id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
9,2017,Pune,11-04-2017,DC,RPS,RPS,field,normal,0,DC,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,,623,477,452,707,0.4375,0,62,50,-0.512,0.176,464,0,0,1
10,2017,Mumbai,12-04-2017,SRH,MI,MI,field,normal,0,MI,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,,765,697,682,644,0.466666667,0.554054054,34,61,0.599,0.784,688,592.5,0.5,0.5
11,2017,Kolkata,13-04-2017,KXIP,KKR,KKR,field,normal,0,KKR,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,637,623,580,560,0.40625,0.550724638,57,76,-0.009,0.642,618.5,691,0.32,0.68
12,2017,Bangalore,14-04-2017,RCB,MI,MI,field,normal,0,MI,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,,477,697,852,644,0.540983607,0.554054054,41,21,-1.299,0.784,464,592.5,0.42,0.58
13,2017,Rajkot,14-04-2017,RPS,GL,GL,field,normal,0,GL,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,,477,650,707,518,0,0.75,64,61,0.176,-0.412,0,481,0,1
14,2017,Kolkata,15-04-2017,KKR,SRH,SRH,field,normal,0,KKR,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,,623,765,560,682,0.550724638,0.466666667,40,45,0.642,0.599,691,688,0.67,0.33
15,2017,Delhi,15-04-2017,DC,KXIP,DC,bat,normal,0,DC,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,,623,637,452,580,0.4375,0.40625,49,40,-0.512,-0.009,464,618.5,0.44,0.56
16,2017,Mumbai,16-04-2017,GL,MI,MI,field,normal,0,MI,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,,650,697,518,644,0.75,0.554054054,46,56,-0.412,0.784,481,592.5,1,0
17,2017,Bangalore,16-04-2017,RPS,RCB,RCB,field,normal,0,RPS,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C ShamshuDCin,,477,477,707,852,0,0.540983607,55,42,0.176,-1.299,0,464,0,1
18,2017,Delhi,17-04-2017,DC,KKR,DC,bat,normal,0,KKR,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,,623,623,452,560,0.4375,0.550724638,53,49,-0.512,0.642,464,691,0.41,0.59
19,2017,Hyderabad,17-04-2017,SRH,KXIP,KXIP,field,normal,0,SRH,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,,765,637,682,580,0.466666667,0.40625,29,51,0.599,-0.009,688,618.5,0.75,0.25
20,2017,Rajkot,18-04-2017,RCB,GL,GL,field,normal,0,RCB,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,,477,650,852,518,0.540983607,0.75,45,57,-1.299,-0.412,464,481,0.67,0.33
21,2017,Hyderabad,19-04-2017,SRH,DC,SRH,bat,normal,0,SRH,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,,765,623,682,452,0.466666667,0.4375,39,56,0.599,-0.512,688,464,0.625,0.375
22,2017,Indore,20-04-2017,KXIP,MI,MI,field,normal,0,MI,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C ShamshuDCin,,637,697,580,644,0.40625,0.554054054,46,82,-0.009,0.784,618.5,592.5,0.5,0.5
23,2017,Kolkata,21-04-2017,KKR,GL,GL,field,normal,0,GL,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,,623,650,560,518,0.550724638,0.75,65,72,0.642,-0.412,691,481,0,1
24,2017,Mumbai,22-04-2017,MI,DC,DC,field,normal,0,MI,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,,697,623,644,452,0.554054054,0.4375,48,23,0.784,-0.512,592.5,464,0.5,0.5
25,2017,Pune,22-04-2017,SRH,RPS,RPS,field,normal,0,RPS,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,,765,477,682,707,0.466666667,0,45,55,0.599,0.176,688,0,0.5,0.5
26,2017,Rajkot,23-04-2017,KXIP,GL,GL,field,normal,0,KXIP,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,,637,650,580,518,0.40625,0.75,50,50,-0.009,-0.412,618.5,481,0.5,0.5
27,2017,Kolkata,23-04-2017,KKR,RCB,RCB,field,normal,0,KKR,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,623,477,560,852,0.550724638,0.540983607,65,39,0.642,-1.299,691,464,0.5,0.5
28,2017,Mumbai,24-04-2017,RPS,MI,MI,field,normal,0,RPS,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,,477,697,707,644,0,0.554054054,48,44,0.176,0.784,0,592.5,0.5,0.5
