match_day,match_no,day,time_IST,time_UAE,venue,home,away,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),,Toss_Winner
36,43,SAT,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,SUNRISERS HYDERABAD,607,669.6,525,675.8,0.432098765,0.5,-0.26,0.486,629.875,734.5,,SUNRISERS HYDERABAD
37,44,SUN,3:30PM,2:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,614,612.2,654,646.6,0.50617284,0.640449438,-0.589,0.361,701.4166667,741.55,,CHENNAI SUPER KINGS
37,45,SUN,7:30PM,6:00PM,ABU DHABI,RAJASTHAN ROYALS,MUMBAI INDIANS,614.2,668.8,617.6,563.4,0.525,0.571428571,-0.093,0.507,649.85,696.8333333,,RAJASTHAN ROYALS
38,46,MON,7:30PM,6:00PM,SHARJAH,KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,583.4,607,618,525,0.576086957,0.432098765,0.6,-0.26,668.0416667,629.875,,KOLKATA KNIGHT RIDERS
39,47,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,DELHI CAPITALS,669.6,654.8,675.8,650,0.5,0.466666667,0.486,-0.23,734.5,582.0833333,,SUNRISERS HYDERABAD
40,48,WED,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,668.8,614,563.4,654,0.571428571,0.50617284,0.507,-0.589,696.8333333,701.4166667,,ROYAL CHALLENGERS BANGALORE
41,49,THU,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,612.2,583.4,646.6,618,0.640449438,0.576086957,0.361,0.6,741.55,668.0416667,,KOLKATA KNIGHT RIDERS
42,50,FRI,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,RAJASTHAN ROYALS,607,614.2,525,617.6,0.432098765,0.525,-0.26,-0.093,629.875,649.85,,RAJASTHAN ROYALS
43,51,SAT,3:30PM,2:00PM,DUBAI,DELHI CAPITALS,MUMBAI INDIANS,654.8,668.8,650,563.4,0.466666667,0.571428571,-0.23,0.507,582.0833333,696.8333333,,MUMBAI INDIANS
43,52,SAT,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,614,669.6,654,675.8,0.50617284,0.5,-0.589,0.486,701.4166667,734.5,,SUNRISERS HYDERABAD
44,53,SUN,3:30PM,2:00PM,ABU DHABI,CHENNAI SUPER KINGS,KINGS XI PUNJAB,612.2,607,646.6,525,0.640449438,0.432098765,0.361,-0.26,741.55,629.875,,KINGS XI PUNJAB
44,54,SUN,7:30PM,6:00PM,DUBAI,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,583.4,614.2,618,617.6,0.576086957,0.525,0.6,-0.093,668.0416667,649.85,,KOLKATA KNIGHT RIDERS
45,55,MON,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,654.8,614,650,654,0.466666667,0.50617284,-0.23,-0.589,582.0833333,701.4166667,,DELHI CAPITALS
46,56,TUE,7:30PM,6:00PM,SHARJAH,SUNRISERS HYDERABAD,MUMBAI INDIANS,669.6,668.8,675.8,563.4,0.5,0.571428571,0.486,0.507,734.5,696.8333333,,MUMBAI INDIANS
