,id,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),new_col,team a ground,team b ground
0,60,KKR,RCB,RCB,field,normal,0,KKR,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,,536,509,730,393,0.0,0.0,61,26,-0.147,-1.16,514.5,517.5,0.0,0.0,1,away,home
1,61,CSK,KXIP,CSK,bat,normal,0,CSK,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,,807,804,564,538,0.0,0.0,53,63,-0.192,0.509,680.0,727.0,0.0,0.0,2,away,away
2,62,RR,DC,RR,bat,normal,0,DC,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,,642,536,571,590,0.0,0.0,40,55,0.632,0.342,917.0,517.5,0.0,0.0,3,away,away
3,63,MI,RCB,MI,bat,normal,0,RCB,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,,556,509,970,393,0.0,0.0,47,40,0.57,-1.16,724.0,517.5,0.0,0.0,4,home,away
4,64,DEC,KKR,DEC,bat,normal,0,KKR,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,,617,536,603,730,0.0,0.0,39,26,-0.467,-0.147,598.0,514.5,0.0,0.0,5,away,home
5,65,KXIP,RR,KXIP,bat,normal,0,RR,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,,804,642,538,571,0.0,0.0,54,53,0.509,0.632,727.0,917.0,0.0,0.0,6,away,home
6,66,DEC,DC,DEC,bat,normal,0,DC,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,617,536,603,590,0.0,0.0,25,48,-0.467,0.342,598.0,517.5,0.0,0.0,7,away,away
7,67,CSK,MI,MI,field,normal,0,CSK,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,,807,556,564,970,0.0,0.0,53,52,-0.192,0.57,680.0,724.0,0.0,0.0,8,home,away
8,68,DEC,RR,RR,field,normal,0,RR,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,,617,642,603,571,0.0,0.0,58,73,-0.467,0.632,598.0,917.0,0.0,0.0,9,away,away
9,69,KXIP,MI,MI,field,normal,0,KXIP,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,,804,556,538,970,0.0,0.0,60,39,0.509,0.57,727.0,724.0,0.0,0.0,10,away,away
10,70,RCB,RR,RR,field,normal,0,RR,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,,509,642,393,571,0.0,0.0,57,45,-1.16,0.632,517.5,917.0,0.0,0.0,11,home,away
11,71,KKR,CSK,KKR,bat,normal,0,CSK,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,,536,807,730,564,0.0,0.0,61,45,-0.147,-0.192,514.5,680.0,0.0,0.0,12,away,home
12,72,MI,DEC,DEC,field,normal,0,DEC,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,,556,617,970,603,0.0,0.0,27,60,0.57,-0.467,724.0,598.0,0.0,0.0,13,home,away
13,73,DC,KXIP,DC,bat,normal,0,KXIP,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,,536,804,590,538,0.0,0.0,45,55,0.342,0.509,517.5,727.0,0.0,0.0,14,away,away
14,74,CSK,RCB,CSK,bat,normal,0,CSK,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,,807,509,564,393,0.0,0.0,36,45,-0.192,-1.16,680.0,517.5,0.0,0.0,15,away,home
15,75,KKR,MI,KKR,bat,normal,0,MI,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,,536,556,730,970,0.0,0.0,40,38,-0.147,0.57,514.5,724.0,0.0,0.0,16,home,away
16,76,DC,RCB,RCB,field,normal,0,DC,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,,536,509,590,393,0.0,0.0,58,55,0.342,-1.16,517.5,517.5,0.0,0.0,17,away,away
17,77,DEC,KXIP,KXIP,field,normal,0,KXIP,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin,,617,804,603,538,0.0,0.0,50,41,-0.467,0.509,598.0,727.0,0.0,0.0,18,away,away
18,78,RR,KKR,RR,bat,normal,0,RR,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar,,642,536,571,730,0.0,0.0,45,51,0.632,-0.147,917.0,514.5,0.0,0.0,19,home,away
19,79,CSK,DC,CSK,bat,normal,0,DC,0,8,V Sehwag,"MA Chidambaram Stadium, Chepauk",BF Bowden,K Hariharan,,807,536,564,590,0.0,0.0,47,64,-0.192,0.342,680.0,517.5,0.0,0.0,20,home,away
20,81,KXIP,KKR,KXIP,bat,normal,0,KXIP,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,,804,536,538,730,0.0,0.0,41,43,0.509,-0.147,727.0,514.5,0.0,0.0,21,away,away
21,111,RCB,DEC,DEC,field,normal,0,RCB,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,,509,617,393,603,0.0,0.0,49,31,-1.16,-0.467,517.5,598.0,0.0,0.0,22,home,away
22,82,MI,DC,DC,field,normal,0,MI,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,,556,536,970,590,0.0,0.0,50,37,0.57,0.342,724.0,517.5,0.0,0.0,23,home,away
23,83,CSK,RR,CSK,bat,normal,0,RR,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,,807,642,564,571,0.0,0.0,38,44,-0.192,0.632,680.0,917.0,0.0,0.0,24,away,home
24,84,RCB,KXIP,KXIP,field,normal,0,KXIP,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,,509,804,393,538,0.0,0.0,26,52,-1.16,0.509,517.5,727.0,0.0,0.0,25,home,away
25,85,CSK,DEC,DEC,field,normal,0,DEC,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin,,807,617,564,603,0.0,0.0,34,50,-0.192,-0.467,680.0,598.0,0.0,0.0,26,home,away
26,86,RR,MI,MI,field,normal,0,MI,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,,642,556,571,970,0.0,0.0,48,34,0.632,0.57,917.0,724.0,0.0,0.0,27,away,home
27,87,DC,CSK,CSK,field,normal,0,CSK,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,,536,807,590,564,0.0,0.0,50,62,0.342,-0.192,517.5,680.0,0.0,0.0,28,away,away
28,88,KKR,RCB,KKR,bat,normal,0,KKR,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,,536,509,730,393,0.0,0.0,41,35,-0.147,-1.16,514.5,517.5,0.0,0.0,29,home,away
29,89,DEC,RR,RR,field,normal,0,RR,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,,617,642,603,571,0.0,0.0,50,50,-0.467,0.632,598.0,917.0,0.0,0.0,30,away,home
30,91,CSK,KXIP,KXIP,field,normal,0,CSK,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,,807,804,564,538,0.0,0.0,36,39,-0.192,0.509,680.0,727.0,0.0,0.0,31,home,away
31,92,KKR,DEC,KKR,bat,normal,0,KKR,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,536,617,730,603,0.0,0.0,53,35,-0.147,-0.467,514.5,598.0,0.0,0.0,32,away,away
32,93,DC,RR,RR,field,normal,0,RR,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,,536,642,590,571,0.0,0.0,43,55,0.342,0.632,517.5,917.0,0.0,0.0,33,away,home
33,94,RCB,KXIP,RCB,bat,normal,0,KXIP,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,,509,804,393,538,0.0,0.0,47,21,-1.16,0.509,517.5,727.0,0.0,0.0,34,away,away
34,95,KKR,DC,KKR,bat,normal,0,KKR,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,,536,536,730,590,0.0,0.0,50,42,-0.147,0.342,514.5,517.5,0.0,0.0,35,home,away
35,96,CSK,MI,MI,field,normal,0,MI,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,,807,556,564,970,0.0,0.0,35,37,-0.192,0.57,680.0,724.0,0.0,0.0,36,away,home
36,98,DC,DEC,DEC,field,normal,0,DC,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,,536,617,590,603,0.0,0.0,28,78,0.342,-0.467,517.5,598.0,0.0,0.0,37,away,away
37,99,KKR,MI,MI,field,normal,0,MI,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,,536,556,730,970,0.0,0.0,51,38,-0.147,0.57,514.5,724.0,0.0,0.0,38,away,home
38,100,DC,KXIP,DC,bat,normal,1,KXIP,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,,536,804,590,538,0.0,0.0,48,71,0.342,0.509,517.5,727.0,0.0,0.0,39,away,away
