Run_Rate(team1),Run_Rate(team2)
0.441,0.003
-0.095,-0.848
0.53,0.226
0.457,-1.006
0.322,-0.095
-0.848,0.003
0.441,0.53
-1.006,0.322
0.457,0.226
-0.848,0.322
0.441,-0.095
0.53,0.003
0.226,0.322
-0.095,-1.006
0.457,-0.848
-1.006,0.441
0.003,0.226
0.457,-0.095
0.53,0.322
0.003,0.441
0.457,0.226
0.53,-0.848
-1.006,-0.095
0.441,0.322
0.226,-0.848
0.003,0.322
0.226,0.441
0.457,0.53
-1.006,-0.848
-0.095,0.003
0.53,0.441
0.003,0.322
0.322,0.441
0.441,0.53
0.418,0.095
-1.182,-0.428
0.385,0.968
-0.39899999999999997,0.06
0.095,-0.428
0.418,-1.182
0.06,0.968
0.385,-1.182
0.968,-0.39899999999999997
0.385,0.06
0.418,-0.428
-0.39899999999999997,-1.182
0.095,0.385
-0.428,0.06
0.968,0.418
0.095,-1.182
-0.39899999999999997,0.385
-0.428,0.968
0.06,0.418
-0.39899999999999997,0.095
0.385,0.418
0.968,0.095
-1.182,0.06
-0.39899999999999997,-0.428
0.06,0.418
-1.182,0.385
0.095,-0.428
-1.182,0.418
0.968,0.385
-0.39899999999999997,0.06
0.968,-0.428
-1.182,-0.39899999999999997
0.095,0.385
0.968,0.418
-0.428,0.06
-0.39899999999999997,0.095
0.06,0.385
-0.428,-1.182
-0.39899999999999997,0.968
0.095,0.418
0.06,-1.182
0.385,-0.428
-0.39899999999999997,0.418
0.095,0.06
-1.182,0.968
-0.428,-0.39899999999999997
0.385,0.418
0.968,0.095
0.418,-0.428
0.385,-0.39899999999999997
0.095,-1.182
0.968,0.06
-0.428,0.385
-0.39899999999999997,0.418
-1.182,0.968
0.06,0.095
0.418,0.968
0.095,0.385
0.968,0.385
0.968,0.418
-0.043,0.253
0.7090000000000001,-0.049
0.062,-1.436
0.7090000000000001,-0.239
0.253,1.037
-0.049,0.062
-1.436,-0.043
1.037,-0.239
-0.043,0.062
-1.436,-0.049
-0.239,0.062
-0.043,0.7090000000000001
-0.049,-0.239
-1.436,0.253
0.7090000000000001,0.062
-0.043,1.037
-0.049,0.253
0.062,-1.436
-0.239,0.253
0.7090000000000001,1.037
-0.049,-0.043
0.062,1.037
-0.043,-0.239
0.7090000000000001,-1.436
-0.049,1.037
-0.239,-1.436
0.7090000000000001,0.253
1.037,0.062
0.7090000000000001,0.253
-1.436,-0.049
-0.043,0.062
0.253,1.037
-0.239,0.7090000000000001
-0.043,-1.436
0.062,-0.049
0.7090000000000001,1.037
0.253,-0.239
-0.049,-0.043
1.037,-1.436
0.253,-0.049
-0.239,0.062
0.7090000000000001,-0.043
-1.436,0.253
-0.239,-0.049
1.037,-0.043
0.7090000000000001,0.062
-0.239,-1.436
0.7090000000000001,-0.049
-1.436,1.037
-0.043,0.253
-0.239,1.037
-1.436,0.7090000000000001
0.062,0.253
-0.049,1.037
-0.239,-0.043
-0.043,0.7090000000000001
1.037,0.062
1.037,0.7090000000000001
-0.043,0.7090000000000001
-0.146,0.015
-0.155,0.106
-0.6459999999999999,-0.374
0.932,0.245
0.106,-0.146
0.015,-0.374
-0.6459999999999999,-0.155
0.245,0.106
-0.146,-0.374
0.015,-0.6459999999999999
0.932,-0.155
-0.146,0.245
-0.6459999999999999,0.106
0.932,-0.146
-0.374,0.245
0.932,0.015
-0.155,-0.146
-0.6459999999999999,0.245
0.932,-0.374
0.015,0.106
-0.146,-0.6459999999999999
0.245,0.015
-0.374,-0.155
0.106,-0.146
0.015,-0.374
-0.155,0.106
0.245,0.932
-0.6459999999999999,-0.374
0.015,-0.146
0.932,0.106
-0.374,-0.155
0.106,-0.6459999999999999
-0.155,0.015
-0.374,0.245
0.015,0.932
-0.6459999999999999,-0.155
0.245,-0.146
0.106,-0.374
0.932,-0.6459999999999999
0.245,0.015
0.932,-0.146
0.245,-0.155
-0.146,-0.6459999999999999
0.932,-0.374
0.015,0.106
-0.6459999999999999,0.245
-0.146,-0.155
0.106,0.932
-0.155,0.015
0.932,-0.6459999999999999
0.106,-0.374
0.245,-0.155
-0.6459999999999999,0.015
-0.146,-0.374
0.106,0.245
-0.155,0.932
-0.374,0.932
0.245,0.106
-0.374,0.245
0.245,0.932
0.599,-1.2990000000000002
0.784,0.17600000000000002
-0.41200000000000003,0.642
0.17600000000000002,-0.009000000000000001
-1.2990000000000002,-0.512
-0.41200000000000003,0.599
0.642,0.784
-1.2990000000000002,-0.009000000000000001
-0.512,0.17600000000000002
0.599,0.784
-0.009000000000000001,0.642
-1.2990000000000002,0.784
0.17600000000000002,-0.41200000000000003
0.642,0.599
-0.512,-0.009000000000000001
-0.41200000000000003,0.784
0.17600000000000002,-1.2990000000000002
-0.512,0.642
0.599,-0.009000000000000001
-1.2990000000000002,-0.41200000000000003
0.599,-0.512
-0.009000000000000001,0.784
0.642,-0.41200000000000003
0.784,-0.512
0.599,0.17600000000000002
-0.009000000000000001,-0.41200000000000003
0.642,-1.2990000000000002
0.17600000000000002,0.784
0.17600000000000002,0.642
-1.2990000000000002,-0.41200000000000003
-0.512,0.642
0.599,-0.009000000000000001
0.17600000000000002,-1.2990000000000002
-0.41200000000000003,0.784
-0.512,-0.009000000000000001
0.599,0.642
-1.2990000000000002,0.784
-0.41200000000000003,0.17600000000000002
0.599,-0.512
0.642,0.17600000000000002
-0.41200000000000003,-0.512
-0.009000000000000001,-1.2990000000000002
0.17600000000000002,0.599
0.784,-0.512
-1.2990000000000002,0.642
-0.009000000000000001,-0.41200000000000003
0.784,0.599
-0.009000000000000001,0.642
-0.41200000000000003,-0.512
-0.009000000000000001,0.784
-0.512,0.17600000000000002
-0.41200000000000003,0.599
0.784,0.642
-0.009000000000000001,0.17600000000000002
-1.2990000000000002,-0.512
0.17600000000000002,0.784
0.599,0.642
0.642,0.784
0.784,0.17600000000000002
0.317,0.253
-0.22,-0.502
0.129,-0.07
-0.25,0.284
-0.07,0.253
-0.25,-0.22
0.317,0.284
-0.502,0.129
0.317,-0.22
-0.07,0.284
-0.25,0.129
-0.502,0.253
-0.07,-0.22
0.317,0.129
-0.25,-0.07
-0.502,0.284
0.253,-0.25
-0.07,-0.502
-0.22,0.129
0.253,0.284
0.317,-0.25
-0.502,-0.22
0.284,0.317
0.129,0.253
0.284,-0.502
-0.22,-0.07
0.253,0.317
0.284,-0.25
0.129,-0.07
0.253,-0.22
0.129,0.317
-0.22,-0.25
0.253,-0.07
-0.502,0.317
0.129,0.253
-0.22,0.284
0.317,-0.07
-0.25,-0.502
0.284,0.129
-0.25,-0.502
0.317,-0.07
-0.22,0.284
0.253,-0.25
-0.07,-0.502
-0.22,0.129
0.284,0.253
0.317,-0.25
-0.502,0.129
-0.25,-0.07
0.317,-0.502
0.129,0.284
-0.22,0.253
-0.25,0.129
0.284,-0.07
-0.22,0.317
-0.502,0.253
0.284,0.253
-0.07,-0.25
0.284,-0.07
0.284,0.253
-0.607,0.131
0.5770000000000001,0.027999999999999997
0.044000000000000004,0.42100000000000004
-0.251,-0.449
0.044000000000000004,0.131
0.027999999999999997,-0.251
0.42100000000000004,-0.607
-0.449,0.5770000000000001
0.42100000000000004,-0.251
0.027999999999999997,0.044000000000000004
0.5770000000000001,-0.607
0.131,-0.449
-0.251,0.044000000000000004
-0.607,-0.449
0.42100000000000004,0.131
0.044000000000000004,0.5770000000000001
-0.607,0.027999999999999997
0.131,-0.251
0.42100000000000004,0.5770000000000001
-0.607,0.044000000000000004
-0.449,0.027999999999999997
0.5770000000000001,-0.251
0.027999999999999997,0.131
-0.251,0.42100000000000004
-0.449,0.131
0.027999999999999997,0.044000000000000004
0.42100000000000004,-0.449
-0.251,-0.607
0.027999999999999997,0.131
0.044000000000000004,0.5770000000000001
-0.607,0.42100000000000004
-0.251,-0.449
0.131,0.5770000000000001
0.42100000000000004,0.044000000000000004
-0.607,0.027999999999999997
0.42100000000000004,-0.449
-0.251,0.044000000000000004
0.027999999999999997,0.5770000000000001
-0.607,0.131
-0.449,0.044000000000000004
0.5770000000000001,0.131
-0.607,-0.251
0.027999999999999997,-0.449
0.42100000000000004,0.131
0.5770000000000001,-0.449
0.044000000000000004,-0.607
0.027999999999999997,0.42100000000000004
0.5770000000000001,-0.251
-0.607,-0.449
0.131,0.044000000000000004
0.42100000000000004,0.5770000000000001
-0.251,0.027999999999999997
-0.449,0.044000000000000004
0.5770000000000001,-0.607
0.131,-0.251
0.027999999999999997,0.42100000000000004
0.131,0.42100000000000004
0.5770000000000001,0.044000000000000004
0.044000000000000004,0.131
0.42100000000000004,0.131
