Run_Rate(team1),Run_Rate(team2)
-0.324,0.326
-0.44799999999999995,0.04
-0.051,-0.134
0.433,0.222
-0.44799999999999995,-0.691
0.326,0.04
0.44299999999999995,-0.051
-0.324,-0.134
0.222,0.326
-0.691,0.433
0.04,-0.324
0.44299999999999995,0.326
0.222,-0.051
-0.134,-0.44799999999999995
-0.691,0.433
0.44299999999999995,-0.324
0.222,-0.44799999999999995
-0.134,0.04
-0.324,0.433
-0.051,-0.691
0.04,0.44299999999999995
0.433,0.326
-0.44799999999999995,-0.051
0.04,0.222
-0.324,-0.691
0.44299999999999995,-0.134
-0.44799999999999995,0.326
-0.134,0.44299999999999995
0.222,-0.324
0.433,-0.44799999999999995
0.04,-0.691
0.326,-0.134
-0.44799999999999995,-0.324
-0.051,0.433
-0.134,-0.691
0.44299999999999995,0.222
0.04,-0.051
-0.44799999999999995,-0.324
0.433,0.222
-0.691,0.44299999999999995
0.04,-0.134
-0.324,0.433
0.222,-0.44799999999999995
0.326,-0.051
0.44299999999999995,0.433
0.04,-0.44799999999999995
-0.324,0.326
-0.051,-0.134
0.44299999999999995,-0.691
0.222,-0.134
-0.051,0.04
-0.691,0.326
0.44299999999999995,-0.44799999999999995
-0.324,-0.051
0.433,0.326
0.222,0.04
-0.051,-0.44799999999999995
-0.691,-0.324
-0.134,0.222
-0.051,0.326
0.44299999999999995,-0.324
-0.134,0.433
0.04,-0.691
0.222,-0.051
-0.44799999999999995,-0.134
0.44299999999999995,0.326
0.433,0.04
0.326,0.44299999999999995
0.433,0.04
0.326,0.04
0.44299999999999995,0.326
0.1,-0.1
0.561,0.617
-0.551,-0.1
0.201,-0.21600000000000003
-0.022000000000000002,0.617
0.1,-0.509
0.201,0.561
-0.551,-0.21600000000000003
-0.509,-0.1
0.561,-0.022000000000000002
0.1,0.617
-0.1,0.201
-0.022000000000000002,0.1
-0.551,-0.21600000000000003
0.201,0.561
0.1,-0.551
-0.21600000000000003,0.561
0.201,-0.022000000000000002
-0.1,0.617
-0.509,0.201
-0.551,-0.022000000000000002
-0.21600000000000003,0.561
-0.509,0.617
0.1,-0.551
-0.21600000000000003,-0.022000000000000002
0.201,0.1
-0.551,0.617
-0.1,-0.21600000000000003
-0.509,0.561
-0.022000000000000002,0.201
-0.551,0.617
-0.21600000000000003,-0.1
-0.509,-0.551
0.617,-0.1
-0.21600000000000003,0.1
0.561,-0.022000000000000002
0.617,0.201
-0.509,-0.1
0.1,0.561
-0.509,-0.551
0.201,0.617
-0.022000000000000002,-0.21600000000000003
-0.1,-0.551
0.1,-0.509
0.561,-0.551
0.201,-0.21600000000000003
0.1,-0.1
-0.509,-0.022000000000000002
0.617,0.561
-0.551,0.201
-0.21600000000000003,-0.509
-0.1,-0.022000000000000002
-0.509,0.617
0.201,0.1
-0.022000000000000002,-0.551
-0.1,0.561
0.617,0.1
0.201,-0.551
-0.509,-0.21600000000000003
-0.022000000000000002,-0.1
0.561,0.1
-0.21600000000000003,0.617
0.561,-0.1
0.1,-0.21600000000000003
-0.022000000000000002,0.617
0.201,-0.509
-0.21600000000000003,0.617
0.561,-0.551
-0.509,-0.022000000000000002
0.201,-0.1
0.561,0.617
0.1,-0.1
0.1,0.617
0.1,0.561
-0.848,-0.095
0.457,0.441
0.003,-1.006
0.322,-0.848
0.441,0.53
-1.006,0.226
0.457,0.003
0.322,-0.095
0.441,-0.848
0.003,0.457
0.226,0.53
-0.095,0.457
0.322,-1.006
-0.848,0.003
0.441,-1.006
0.457,0.53
-0.095,0.003
0.226,0.322
-1.006,0.53
0.226,-0.095
-0.848,0.457
0.003,-1.006
0.322,0.441
0.53,-0.848
0.226,0.003
-0.095,0.53
0.322,0.457
0.441,-0.848
-1.006,0.226
0.322,0.53
0.457,-1.006
-0.848,0.226
-0.095,0.441
0.003,0.53
0.226,-0.095
0.003,0.322
0.441,0.457
0.53,-0.095
-0.848,-1.006
0.457,0.322
0.441,0.226
0.53,-1.006
