id,season,team A,team B,Win_ratio_A,Win_ratio_B
185,2015,Delhi Daredevils,Chennai Super Kings,0.29,0.71
186,2015,Delhi Daredevils,Rajasthan Royals,0.43,0.57
187,2015,Delhi Daredevils,Deccan Chargers,0.64,0.36
188,2015,Delhi Daredevils,Kochi Tuskers Kerala,0.5,0.5
189,2015,Delhi Daredevils,Pune Warriors,0.6,0.4
190,2015,Kings XI Punjab,Mumbai Indians,0.5,0.5
191,2015,Kings XI Punjab,Rising Pune Supergiants,0,0
192,2015,Kings XI Punjab,Gujarat Lions,0,0
193,2015,Kings XI Punjab,Kolkata Knight Riders,0.4,0.6
194,2015,Kings XI Punjab,Chennai Super Kings,0.47,0.53
195,2015,Kings XI Punjab,Rajasthan Royals,0.38,0.62
196,2015,Kings XI Punjab,Deccan Chargers,0.7,0.3
197,2015,Kings XI Punjab,Kochi Tuskers Kerala,1,0
198,2015,Kings XI Punjab,Pune Warriors,0.5,0.5
199,2015,Mumbai Indians,Rising Pune Supergiants,0,0
200,2015,Mumbai Indians,Gujarat Lions,0,0
201,2015,Mumbai Indians,Kolkata Knight Riders,0.72,0.28
202,2015,Mumbai Indians,Chennai Super Kings,0.5,0.5
203,2015,Mumbai Indians,Rajasthan Royals,0.64,0.36
204,2015,Mumbai Indians,Deccan Chargers,0.6,0.4
205,2015,Mumbai Indians,Kochi Tuskers Kerala,0,1
206,2015,Mumbai Indians,Pune Warriors,0.83,0.17
207,2015,Rising Pune Supergiants,Gujarat Lions,0,0
208,2015,Rising Pune Supergiants,Kolkata Knight Riders,0,0
209,2015,Rising Pune Supergiants,Chennai Super Kings,0,0
210,2015,Rising Pune Supergiants,Rajasthan Royals,0,0
211,2015,Rising Pune Supergiants,Deccan Chargers,0,0
212,2015,Rising Pune Supergiants,Kochi Tuskers Kerala,0,0
213,2015,Rising Pune Supergiants,Pune Warriors,0,0
214,2015,Gujarat Lions,Kolkata Knight Riders,0,0
215,2015,Gujarat Lions,Chennai Super Kings,0,0
216,2015,Gujarat Lions,Rajasthan Royals,0,0
217,2015,Gujarat Lions,Deccan Chargers,0,0
218,2015,Gujarat Lions,Kochi Tuskers Kerala,0,0
219,2015,Gujarat Lions,Pune Warriors,0,0
220,2015,Kolkata Knight Riders,Chennai Super Kings,0.36,0.64
221,2015,Kolkata Knight Riders,Rajasthan Royals,0.43,0.57
222,2015,Kolkata Knight Riders,Deccan Chargers,0.77,0.23
223,2015,Kolkata Knight Riders,Kochi Tuskers Kerala,0,1
224,2015,Kolkata Knight Riders,Pune Warriors,0.8,0.2
225,2015,Chennai Super Kings,Rajasthan Royals,0.67,0.33
226,2015,Chennai Super Kings,Deccan Chargers,0.6,0.4
